시설명,주소,경도,위도
대산NHF1단지경로당,"경상남도 창원시 의창구 대산면 주남로 514, 101동 1403호(엔에이치에프창원대산1단지)",128.705931204,35.329355402
소답경로당,경상남도 창원시 의창구 의안로 32번길 34-1(소답동),128.627452889,35.264187051
재건경로당,경상남도 창원시 의창구 읍성로 41번길 2-9(북동),128.623009311,35.265438875
중동경로당,경상남도 창원시 의창구 의안로 31번길 14-1(중동),128.622501314,35.264628120
북동경로당,경상남도 창원시 의창구 의안로 55번길 34-1(북동),128.620281207,35.266686200
동정경로당,경상남도 창원시 의창구 동정길 31-6(동정동),128.613611337,35.264487708
서상경로당,경상남도 창원시 의창구 천주로 12번길 12-6(서상동),128.619506753,35.262528956
무학아파트경로당,경상남도 창원시 의창구 의창대로 139번길 23(동정동),128.613991309,35.263820306
소계경로당,경상남도 창원시 의창구 금강로 355번길 39(소계동),128.598501406,35.259362380
의창경로당,경상남도 창원시 의창구 의안로 56번길 21(소답동),128.626209966,35.266740783
오성아파트 경 로 당,"경상남도 창원시 의창구 서상로 27(동정동, 동정오성아파트)",128.615735135,35.263504827
흥한웰가 경 로 당,"경상남도 창원시 의창구 천주로 33(동정동, 흥한웰가아파트) ",128.616564376,35.264869336
대동다숲 경 로 당,"경상남도 창원시 의창구 팔용로 512 (서상동,중동대동 다숲아파트)",128.618609590,35.261139403
강무경로당,경상남도 창원시 의창구 서상로 25번길 10-9 (동정동),128.615639147,35.264031663
천주경로당,경상남도 창원시 의창구 소계로 128(소계동),128.596613275,35.260052504
소답제2 경로당,경상남도 창원시 의창구 읍성로 117번길23 (소답동),,
무학서문마을아파트경로당,경상남도 창원시 의창구 서상로12번길 83-15 (서상동),128.622036190,35.262245985
유니시티2단지아파트경로당,"경상남도 창원시 의창구 중동로 33 (중동,유니시티2단지A)",128.627510962,35.255850842
유니시티1단지아파트경로당,"경상남도 창원시 의창구 중동로 34 (중동,유니시티1단지A) 111동 1층",128.625879544,35.254016610
유니시티4단지아파트경로당,경상남도 창원시 의창구 중동로78(중동유니시티4단지A) 시니어클럽(경로당) 402동 1층,,
유니시티3단지아파트경로당,경상남도 창원시 의창구 중동로77(중동) 302동 창원중동유니시티3단지아파트경로당,,
팔룡 제1경로당,경상남도 창원시 의창구 팔용로423번길 5,128.611344999,35.254858873
