city_name,city_code,routeid,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime
창원시,38010,CWB379000400,40,지선버스,경남대남부터미널종점,북모산마을,0610,2055,145.0,145.0,145.0
창원시,38010,CWB379000410,41,지선버스,경남대남부터미널종점,본포마을회관,0530,1835,275.0,275.0,275.0
창원시,38010,CWB379000420,42,지선버스,경남대남부터미널종점,송정종점,0845,2135,210.0,210.0,210.0
창원시,38010,CWB379000440,44,지선버스,경남대남부터미널종점,무점종점,0555,2000,245.0,245.0,245.0
창원시,38010,CWB379000450,45,지선버스,경남대남부터미널종점,신용삼거리,0530,1940,225.0,225.0,225.0
창원시,38010,CWB379000460,46,지선버스,경남대남부터미널종점,용전마을,0610,2110,150.0,150.0,150.0
창원시,38010,CWB379000490,49,지선버스,경남대남부터미널종점,유등종점,0535,2000,315.0,315.0,315.0
창원시,38010,CWB379000500,50,지선버스,월영1차아파트,안계종점,0600,2225,175.0,175.0,175.0
창원시,38010,CWB379000510,51,지선버스,월영1차아파트,신목종점,0510,2145,82.0,82.0,82.0
창원시,38010,CWB379000530,53,지선버스,월영1차아파트,안성종점,0545,2230,90.0,90.0,90.0
창원시,38010,CWB379000540,54,지선버스,월영1차아파트,마산대학교종점,0550,2230,90.0,90.0,90.0
창원시,38010,CWB379000550,55,지선버스,호계중학교,소계종점,0620,2130,130.0,130.0,130.0
창원시,38010,CWB379000600,60,지선버스,마산역종점,옥계종점,0740,2120,180.0,180.0,180.0
창원시,38010,CWB379000610,61,지선버스,마산역종점,저도비치로드,0550,2135,110.0,,
창원시,38010,CWB379000611,61-1,간선버스,마산역종점,조밭골,,,,110.0,110.0
창원시,38010,CWB379000620,62,지선버스,마산역종점,원전종점,0720,2210,79.0,79.0,79.0
창원시,38010,CWB379000640,64,지선버스,마산역종점,진동환승센터,0550,1820,260.0,260.0,260.0
창원시,38010,CWB379000731,73-1,지선버스,월안마을,진동환승센터,0650,2250,120.0,120.0,120.0
창원시,38010,CWB379000740,74,지선버스,마산역종점,정곡종점,0730,2100,170.0,170.0,170.0
창원시,38010,CWB379000741,74-1,지선버스,진동환승센터,정곡종점,0635,2220,135.0,135.0,135.0
창원시,38010,CWB379000750,75,지선버스,마산역종점,상평종점,0835,2230,220.0,220.0,220.0
창원시,38010,CWB379000751,75-1,지선버스,둔덕종점,진동환승센터,0715,2030,300.0,300.0,300.0
창원시,38010,CWB379000759,75-2,지선버스,상평종점,진동환승센터,0910,2220,420.0,420.0,420.0
창원시,38010,CWB379000760,76,지선버스,마산역종점,둔덕종점,0755,2145,225.0,225.0,225.0
창원시,38010,CWB379000770,77,지선버스,마산역종점,시락정곡종점,0750,2030,290.0,290.0,290.0
창원시,38010,CWB379000771,77-1,지선버스,진동환승센터,시락정곡종점,0740,2210,150.0,150.0,150.0
창원시,38010,CWB379000641,64-1,지선버스,유니시티2단지,진동환승센터,0750,1750,320.0,320.0,320.0
