시설구분,시설명,주소,경도,위도
생활편익시설,남백경로당,경상남도 창원시 의창구 북면 백월로277번길 10,128.637285,35.31863855
생활편익시설,내감경로당,경상남도 창원시 의창구 북면 내감1길 20,128.590807244,35.301061682
생활편익시설,내감부인경로당,경상남도 창원시 의창구 북면 내감1길 20,128.590807244,35.301061682
생활편익시설,내산경로당,경상남도 창원시 의창구 북면 외산로157번길 5-4,128.590079145,35.376115365
생활편익시설,대천경로당,경상남도 창원시 의창구 북면 천주로 606,128.602548039,35.30950667
생활편익시설,대한경로당,경상남도 창원시 의창구 북면 구룡로 79-15,128.618564565,35.288561378
생활편익시설,대호아파트경로당,경상남도 창원시 의창구 북면 천주로 1053(대호아파트),128.605456961,35.345329464
생활편익시설,동전경로당,경상남도 창원시 의창구 북면 동전무동길 30,128.59676355,35.316543943
생활편익시설,마산경로당,경상남도 창원시 의창구 북면 마산길 48,128.621238591,35.342287994
생활편익시설,마산부인경로당,경상남도 창원시 의창구 북면 마산길 49,128.621496746,35.342524652
생활편익시설,명촌경로당,경상남도 창원시 의창구 북면 외산로 349,128.598150767,35.385972508
생활편익시설,명호경로당,경상남도 창원시 의창구 북면 천주로759번길 15-9,128.600584107,35.321109614
생활편익시설,무동경로당,경상남도 창원시 의창구 북면 무동안길 20-5,128.578587051,35.317606946
생활편익시설,무동휴먼빌경로당(1단지),"경상남도 창원시 의창구 북면 동곡로 33, 108동",128.584051262,35.319176009
생활편익시설,무동휴먼빌2단지아파트경로당,경상남도 창원시 의창구 북면 동곡로 35,128.582769671,35.32047054
생활편익시설,무동휴먼빌3단지아파트경로당,경상남도 창원시 의창구 북면 무동로226번길 19,128.583011095,35.317861167
생활편익시설,바깥신천경로당,경상남도 창원시 의창구 북면 천주로 1398-12,128.626420986,35.368208537
생활편익시설,북면경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857
생활편익시설,소라경로당,경상남도 창원시 의창구 북면 온천로587번길 17-3,128.583624056,35.35958561
생활편익시설,상천(봉촌)경로당,경상남도 창원시 의창구 북면 온천로 648-22,128.589730866,35.359518412
생활편익시설,센텀파라디아아파트경로당,경상남도 창원시 의창구 북면 무동서로 24,128.582398712,35.319222282
생활편익시설,송촌경로당,경상남도 창원시 의창구 북면 무릉산길 239-3,128.577560908,35.342564139
생활편익시설,승산경로당,경상남도 창원시 의창구 북면 구룡로 339,128.624490974,35.302687141
생활편익시설,신기경로당,경상남도 창원시 의창구 북면 천주로 1337,128.623275221,35.363971466
생활편익시설,신동경로당,경상남도 창원시 의창구 북면 천주로 1337,128.623275221,35.363971466
생활편익시설,신리경로당,경상남도 창원시 의창구 북면 신리길35번길 2,128.604332813,35.348008506
생활편익시설,신리부녀경로당,경상남도 창원시 의창구 북면 신리길 17,128.60553406,35.346726338
생활편익시설,신목경로당,경상남도 창원시 의창구 북면 천주로1263번길 2,128.618073161,35.359183646
생활편익시설,신우경로당,경상남도 창원시 의창구 북면 신촌본포로 12-10,128.608781642,35.347093189
생활편익시설,신음경로당,경상남도 창원시 의창구 북면 무릉산길 2,128.584555366,35.328906665
생활편익시설,신천경로당,경상남도 창원시 의창구 북면 하천로 245,128.612977089,35.373027144
생활편익시설,신한1차아파트경로당,경상남도 창원시 의창구 북면 천주로 1104(신한그린파크맨션),128.607835648,35.349265493
생활편익시설,신한2차아파트경로당,경상남도 창원시 의창구 북면 천주로 1103(신한2차아파트),128.607261813,35.348821907
생활편익시설,양지경로당,경상남도 창원시 의창구 북면 구룡로314번길 1,128.627069534,35.30394906
생활편익시설,양촌경로당,경상남도 창원시 의창구 북면 운무로783번길 60,128.584891816,35.330926491
생활편익시설,연동경로당,경상남도 창원시 의창구 북면 신촌본포로 186,128.626011351,35.346976832
생활편익시설,온천남자경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857
생활편익시설,온천부녀경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.35050857
생활편익시설,외감경로당,경상남도 창원시 의창구 북면 달천길52번길 28,128.599121406,35.289982816
생활편익시설,외감부인경로당,경상남도 창원시 의창구 북면 달천길52번길 28,128.599121406,35.289982816
생활편익시설,월계경로당,경상남도 창원시 의창구 북면 월계길9번길 87,128.639416495,35.347646388
생활편익시설,월백경로당,경상남도 창원시 의창구 북면 백월로167번길 14,128.625807083,35.321361834
생활편익시설,월백부녀경로당,경상남도 창원시 의창구 북면 백월로167번길 14,128.625807083,35.321361834
생활편익시설,월촌경로당,경상남도 창원시 의창구 북면 백월로87번월촌길 54,128.620570218,35.323209178
생활편익시설,중리경로당,경상남도 창원시 의창구 북면 단내로 701-14,128.593186501,35.341033536
생활편익시설,중방경로당,경상남도 창원시 의창구 북면 중방길 3-22,128.592172141,35.296793145
생활편익시설,중촌경로당,경상남도 창원시 의창구 북면 하천로86번길 22-1,128.603753474,35.365740314
생활편익시설,지개경로당,경상남도 창원시 의창구 북면 구룡로38번길 39,128.617357487,35.284627953
생활편익시설,천수림아파트경로당,"경상남도 창원시 의창구 북면 감계로 222, 103동 지하1층 (천수림)",128.587507503,35.30178627
생활편익시설,청우아파트경로당,경상남도 창원시 의창구 북면 천주로1083번길 10-1,128.607183928,35.348051573
생활편익시설,초소경로당,경상남도 창원시 의창구 북면 외산로 207,128.594624188,35.378173171
생활편익시설,춘광1차아파트경로당,경상남도 창원시 의창구 북면 신촌본포로 14(춘광아파트),128.609684582,35.347287029
생활편익시설,춘광2차아파트경로당,경상남도 창원시 의창구 북면 신촌본포로 12-13(춘광아파트),128.608998032,35.347094115
생활편익시설,춘광마을경로당,경상남도 창원시 의창구 북면 신촌본포로 28,128.610018573,35.346879871
생활편익시설,하천(대촌)경로당,경상남도 창원시 의창구 북면 하천로 129,128.603626979,35.368073472
생활편익시설,현도경로당,경상남도 창원시 의창구 북면 외산로117번길 9,128.592278349,35.372914392
생활편익시설,현천노인당,경상남도 창원시 의창구 북면 단내로591번길 8-10,128.583140647,35.344592089
생활편익시설,화천경로당,경상남도 창원시 의창구 북면 천주로480번길 10-3,128.604402888,35.30041178
생활편익시설,화천부녀경로당,경상남도 창원시 의창구 북면 천주로480번길 10-3,128.604402888,35.30041178
생활편익시설,신전경로당,경상남도 창원시 의창구 대산면 갈전로 17,128.673670467,35.36694759
생활편익시설,상리경로당,경상남도 창원시 의창구 대산면 갈전로 67-13,128.678353268,35.36655173
생활편익시설,갈전경로당,경상남도 창원시 의창구 대산면 죽송로119번길 7-16,128.682229798,35.359491453
생활편익시설,갈전부인경로당,경상남도 창원시 의창구 대산면 대산북로385번길 16,128.680994442,35.364138185
생활편익시설,평리경로당,경상남도 창원시 의창구 대산면 대산북로385번길 18-3,128.680716614,35.364483973
생활편익시설,송정경로당,경상남도 창원시 의창구 대산면 죽송로 119번길 10,128.682694574,35.359680131
생활편익시설,유목경로당,경상남도 창원시 의창구 대산면 갈전로90번길 16 ,128.680979438,35.365327069
생활편익시설,일동경로당,경상남도 창원시 의창구 대산면 갈전로119번길 10 -1,128.684109426,35.368907167
생활편익시설,일동부인경로당,경상남도 창원시 의창구 대산면 갈전로119번길 3-19,128.683046193,35.36881634
생활편익시설,구산경로당,경상남도 창원시 의창구 대산면 대산북로524번길 97-10,128.694495632,35.358374537
