rigeon1,nodeid1,routeid1
38010,CWB379002032,"['CWB379000020', 'CWB379000030', 'CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379003230,['CWB379000020']
38010,CWB379003231,"['CWB379000020', 'CWB379000030']"
38010,CWB379003232,"['CWB379000020', 'CWB379000030']"
38010,CWB379002030,"['CWB379000020', 'CWB379000030']"
38010,CWB379003275,"['CWB379000020', 'CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379003063,"['CWB379000020', 'CWB379000020', 'CWB379000030', 'CWB379000360', 'CWB379000370', 'CWB379000490']"
38010,CWB379003062,"['CWB379000020', 'CWB379000030', 'CWB379000370', 'CWB379000370']"
38010,CWB379005767,"['CWB379000020', 'CWB379000030', 'CWB379030000']"
38010,CWB379005766,"['CWB379000020', 'CWB379000030', 'CWB379030000']"
38010,CWB379002022,['CWB379000020']
38010,CWB379002020,"['CWB379000020', 'CWB379000030', 'CWB379000360', 'CWB379000370']"
38010,CWB379000394,['CWB379000020']
38010,CWB379003106,"['CWB379000020', 'CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379002031,"['CWB379000020', 'CWB379000030', 'CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379002174,"['CWB379000020', 'CWB379000030', 'CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379003279,"['CWB379000030', 'CWB379000320', 'CWB379000360']"
38010,CWB379003161,"['CWB379000030', 'CWB379000320', 'CWB379000360']"
38010,CWB379000059,"['CWB379000030', 'CWB379000320', 'CWB379000360', 'CWB379000420']"
38010,CWB379003149,"['CWB379000030', 'CWB379000320', 'CWB379000360', 'CWB379000420']"
38010,CWB379003147,"['CWB379000030', 'CWB379000320', 'CWB379000360', 'CWB379000420']"
38010,CWB379000094,"['CWB379000030', 'CWB379000310']"
38010,CWB379000122,"['CWB379000030', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379000133,"['CWB379000030', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379003276,"['CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379003111,"['CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379003108,"['CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379003090,"['CWB379000030', 'CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379005342,['CWB379000030']
38010,CWB379005344,['CWB379000030']
38010,CWB379005345,['CWB379000030']
38010,CWB379005346,['CWB379000030']
38010,CWB379005347,['CWB379000030']
38010,CWB379005349,['CWB379000030']
38010,CWB379005351,['CWB379000030']
38010,CWB379005353,['CWB379000030']
38010,CWB379005355,['CWB379000030']
38010,CWB379005357,['CWB379000030']
38010,CWB379002077,"['CWB379000030', 'CWB379000350', 'CWB379000450']"
38010,CWB379002087,"['CWB379000030', 'CWB379000350', 'CWB379000450']"
38010,CWB379005358,['CWB379000030']
38010,CWB379005356,['CWB379000030']
38010,CWB379005354,['CWB379000030']
38010,CWB379005352,['CWB379000030']
38010,CWB379005350,['CWB379000030']
38010,CWB379005348,['CWB379000030']
38010,CWB379005343,['CWB379000030']
38010,CWB379003107,"['CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379003109,"['CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379003110,"['CWB379000030', 'CWB379000360', 'CWB379000490']"
38010,CWB379000134,"['CWB379000030', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379000121,"['CWB379000030', 'CWB379000310', 'CWB379000410', 'CWB379000490']"
38010,CWB379000093,"['CWB379000030', 'CWB379000310']"
38010,CWB379003146,"['CWB379000030', 'CWB379000320', 'CWB379000360', 'CWB379000420']"
38010,CWB379003148,"['CWB379000030', 'CWB379000320', 'CWB379000360', 'CWB379000420']"
38010,CWB379000058,"['CWB379000030', 'CWB379000320', 'CWB379000360', 'CWB379000420']"
38010,CWB379003162,"['CWB379000030', 'CWB379000360']"
38010,CWB379003278,"['CWB379000030', 'CWB379000360']"
38010,CWB379000291,"['CWB379000070', 'CWB379000330', 'CWB379000340', 'CWB379000350', 'CWB379000440', 'CWB379000450']"
38010,CWB379000288,"['CWB379000070', 'CWB379000330', 'CWB379000340', 'CWB379000350', 'CWB379000370', 'CWB379000440', 'CWB379000450']"
38010,CWB379000283,"['CWB379000070', 'CWB379000330', 'CWB379000330', 'CWB379000340', 'CWB379000340', 'CWB379000350', 'CWB379000350', 'CWB379000440', 'CWB379000440', 'CWB379000450', 'CWB379000450']"
38010,CWB379002035,"['CWB379000070', 'CWB379000330', 'CWB379000330', 'CWB379000340', 'CWB379000340', 'CWB379000350', 'CWB379000350', 'CWB379000440', 'CWB379000440', 'CWB379000450', 'CWB379000450']"
38010,CWB379000290,"['CWB379000070', 'CWB379000330', 'CWB379000330', 'CWB379000340', 'CWB379000340', 'CWB379000350', 'CWB379000350', 'CWB379000440', 'CWB379000440', 'CWB379000450', 'CWB379000450']"
38010,CWB379002036,"['CWB379000070', 'CWB379000330', 'CWB379000330', 'CWB379000340', 'CWB379000340', 'CWB379000350', 'CWB379000350', 'CWB379000440', 'CWB379000440', 'CWB379000450', 'CWB379000450']"
38010,CWB379000306,"['CWB379000070', 'CWB379000330', 'CWB379000330', 'CWB379000340', 'CWB379000340', 'CWB379000350', 'CWB379000350', 'CWB379000440', 'CWB379000440', 'CWB379000450', 'CWB379000450']"
38010,CWB379000302,"['CWB379000070', 'CWB379000330', 'CWB379000330', 'CWB379000340', 'CWB379000340', 'CWB379000350', 'CWB379000350', 'CWB379000440', 'CWB379000440', 'CWB379000450', 'CWB379000450']"
38010,CWB379000294,"['CWB379000070', 'CWB379000330', 'CWB379000330', 'CWB379000340', 'CWB379000340', 'CWB379000350', 'CWB379000350', 'CWB379000440', 'CWB379000440', 'CWB379000450', 'CWB379000450']"
38010,CWB379005444,['CWB379000070']
38010,CWB379000282,"['CWB379000070', 'CWB379000330', 'CWB379000330', 'CWB379000340', 'CWB379000340', 'CWB379000350', 'CWB379000350', 'CWB379000440', 'CWB379000440', 'CWB379000450', 'CWB379000450']"
38010,CWB379000287,"['CWB379000070', 'CWB379000330', 'CWB379000340', 'CWB379000350', 'CWB379000440', 'CWB379000450']"
38010,CWB379000426,['CWB379000080']
38010,CWB379000423,['CWB379000080']
38010,CWB379002375,['CWB379000080']
38010,CWB379002411,['CWB379000080']
38010,CWB379002378,['CWB379000080']
38010,CWB379002412,['CWB379000080']
38010,CWB379002415,['CWB379000080']
38010,CWB379002416,['CWB379000080']
38010,CWB379005521,['CWB379000080']
38010,CWB379005367,['CWB379000080']
38010,CWB379005523,['CWB379000080']
38010,CWB379005525,['CWB379000080']
38010,CWB379005368,['CWB379000080']
38010,CWB379000478,"['CWB379000080', 'CWB379001620', 'CWB379002120', 'CWB379002600', 'CWB379002608', 'CWB379002609', 'CWB379002620', 'CWB379002630', 'CWB379002639']"
38010,CWB379005369,['CWB379000080']
38010,CWB379000547,"['CWB379000080', 'CWB379000200', 'CWB379000210', 'CWB379000230', 'CWB379000240', 'CWB379000270', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000550', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379000710', 'CWB379001000', 'CWB379001010', 'CWB379001020', 'CWB379001030', 'CWB379001080', 'CWB379001090', 'CWB379001100', 'CWB379001110', 'CWB379001130', 'CWB379001150', 'CWB379001220', 'CWB379007100', 'CWB379007300', 'CWB379050000']"
38010,CWB379005528,['CWB379000080']
38010,CWB379005531,['CWB379000080']
38010,CWB379005784,['CWB379000080']
38010,CWB379005532,['CWB379000080']
38010,CWB379005518,['CWB379000080']
38010,CWB379005389,['CWB379000080']
38010,CWB379000509,"['CWB379000080', 'CWB379001620', 'CWB379002120', 'CWB379002600', 'CWB379002608', 'CWB379002609', 'CWB379002620', 'CWB379002630', 'CWB379002639']"
38010,CWB379000479,"['CWB379000080', 'CWB379001620', 'CWB379002120', 'CWB379002600', 'CWB379002608', 'CWB379002609', 'CWB379002620', 'CWB379002630', 'CWB379002639']"
38010,CWB379000454,"['CWB379000080', 'CWB379001620', 'CWB379002120', 'CWB379002600', 'CWB379002608', 'CWB379002609', 'CWB379002620', 'CWB379002630', 'CWB379002639']"
38010,CWB379005524,['CWB379000080']
38010,CWB379005522,['CWB379000080']
38010,CWB379000436,"['CWB379000080', 'CWB379001620', 'CWB379002120', 'CWB379002600', 'CWB379002608', 'CWB379002609', 'CWB379002620', 'CWB379002630', 'CWB379002639']"
38010,CWB379005520,['CWB379000080']
38010,CWB379005370,['CWB379000080']
38010,CWB379005371,['CWB379000080']
38010,CWB379005372,['CWB379000080']
