gid,lbl,val,point,경도,위도,geometry
라라420751,7.0,7.0,POINT (1042050 1675150),127.9612081125992,35.07055845334482,POINT (1042050.0000000009 1675150)
라라507639,12.0,12.0,POINT (1050750 1663950),128.05594282611602,34.9691678324404,POINT (1050750.0000000019 1663950.0000000019)
라라570793,10.0,10.0,POINT (1057050 1679350),128.12601118410348,35.10769172579018,POINT (1057050.000000001 1679350.0000000007)
라라535613,7.0,7.0,POINT (1053550 1661350),128.08644711326448,34.945579267065085,POINT (1053550 1661350)
라라517641,12.0,12.0,POINT (1051750 1664150),128.06690931762083,34.97092060031416,POINT (1051749.999999998 1664150.000000001)
라라402764,8.0,8.0,POINT (1040250 1676450),127.94152922944382,35.082354095169954,POINT (1040250.0000000007 1676450.0000000005)
라라603708,6.0,6.0,POINT (1060350 1670850),128.16160128058763,35.03085709038351,POINT (1060349.9999999995 1670850)
라라497611,8.0,8.0,POINT (1049750 1661150),128.04482162254646,34.94396961308352,POINT (1049749.9999999993 1661150.0000000002)
라라532608,26.0,26.0,POINT (1053250 1660850),128.0831299273088,34.9410865540985,POINT (1053250.0000000005 1660849.999999999)
라라548790,11.0,11.0,POINT (1054850 1679050),128.10185184682567,35.10510894081902,POINT (1054850.0000000005 1679050.0000000005)
라라528608,69.0,69.0,POINT (1052850 1660850),128.0787498076556,34.94110750012739,POINT (1052849.9999999995 1660849.9999999998)
라라544748,20.0,20.0,POINT (1054450 1674850),128.0971868843408,35.06725999800673,POINT (1054449.9999999993 1674850.0000000005)
라라494665,10.0,10.0,POINT (1049450 1666550),128.04185692111884,34.99267655920741,POINT (1049450.0000000033 1666550.0000000002)
라라512687,18.0,18.0,POINT (1051250 1668750),128.06171547088027,35.01242433610211,POINT (1051250 1668749.9999999998)
라라514710,14.0,14.0,POINT (1051450 1671050),128.06404985959057,35.033153201999106,POINT (1051449.9999999993 1671050.0000000005)
라라580739,8.0,8.0,POINT (1058050 1673950),128.13660521151914,35.05894406987303,POINT (1058050.0000000005 1673950)
라라506681,9.0,9.0,POINT (1050650 1668150),128.05510301300887,35.007044389502546,POINT (1050650.0000000002 1668149.9999999998)
라라543598,10.0,10.0,POINT (1054350 1659850),128.09511009728482,34.9320110901206,POINT (1054349.999999999 1659849.9999999995)
라라406757,7.0,7.0,POINT (1040650 1675750),127.9458826373694,35.07602610549828,POINT (1040650.0000000001 1675750)
라라587731,9.0,9.0,POINT (1058750 1673150),128.14422467414147,35.05169011186042,POINT (1058750.0000000012 1673149.9999999995)
라라532611,21.0,21.0,POINT (1053250 1661150),128.08314907809617,34.94379167175498,POINT (1053249.9999999998 1661150.0000000002)
라라436681,19.0,19.0,POINT (1043650 1668150),127.97838847875568,35.007370976341164,POINT (1043650.0000000001 1668150.0000000005)
라라531601,38.0,38.0,POINT (1053150 1660150),128.08199030645338,34.93477985825754,POINT (1053150.000000001 1660150)
라라543764,6.0,6.0,POINT (1054350 1676450),128.0961951027343,35.08169233877134,POINT (1054349.9999999998 1676450)
라라425819,8.0,8.0,POINT (1042550 1681950),127.96704158212351,35.13185301300512,POINT (1042550.0000000001 1681949.999999999)
라라489619,6.0,6.0,POINT (1048950 1661950),128.03610797192985,34.95122228660994,POINT (1048950 1661950)
라라549780,8.0,8.0,POINT (1054950 1678050),128.1028826724887,35.09608669768808,POINT (1054949.9999999998 1678049.9999999995)
라라526612,28.0,28.0,POINT (1052650 1661250),128.07658499342315,34.94472474137707,POINT (1052650.0000000002 1661249.9999999993)
라라533607,32.0,32.0,POINT (1053350 1660750),128.08421856150116,34.94017958693732,POINT (1053349.9999999995 1660749.9999999986)
라라561614,6.0,6.0,POINT (1056150 1661450),128.11492604676369,34.94634017570006,POINT (1056149.999999999 1661449.9999999998)
라라516711,13.0,13.0,POINT (1051650 1671150),128.06624859795485,35.03404468543772,POINT (1051650.0000000023 1671149.9999999984)
라라523757,24.0,24.0,POINT (1052350 1675750),128.07421277306008,35.075486400266136,POINT (1052350.0000000005 1675750)
라라437671,6.0,6.0,POINT (1043750 1667150),127.97943180505236,34.99834953141713,POINT (1043749.9999999985 1667150.0000000002)
라라516659,10.0,10.0,POINT (1051650 1665950),128.0659255416106,34.98715636634061,POINT (1051650.0000000002 1665950.0000000002)
라라517741,18.0,18.0,POINT (1051750 1674150),128.06753194871638,35.061090346538265,POINT (1051750.0000000007 1674150.0000000005)
