nodeid,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,geometry,weight
TSB389000583,봉두마을-역들,35.334048,128.215635,2023-10-16,3890583.0,38310,경상남도 의령군,TSBIS,POINT (1065036.9410068884 1704508.6283409372),733.0
TSB389000584,평촌,35.330436,128.225734,2023-10-16,3890584.0,38310,경상남도 의령군,TSBIS,POINT (1065957.6894276445 1704114.7155872295),878.0
TSB389000585,평촌,35.330505,128.225841,2023-10-16,3890585.0,38310,경상남도 의령군,TSBIS,POINT (1065967.3581365226 1704122.4392903605),705.0
TSB389000586,봉두,35.334778,128.208953,2023-10-16,3890586.0,38310,경상남도 의령군,TSBIS,POINT (1064429.090743213 1704585.2226806579),705.0
TSB389000587,봉두,35.334656,128.208119,2023-10-16,3890587.0,38310,경상남도 의령군,TSBIS,POINT (1064353.392908507 1704571.1501339106),733.0
TSB389000588,입암마을,35.336101,128.204672,2023-10-16,3890588.0,38310,경상남도 의령군,TSBIS,POINT (1064038.9865071375 1704729.17423308),733.0
TSB389000589,입암마을,35.33617,128.204774,2023-10-16,3890589.0,38310,경상남도 의령군,TSBIS,POINT (1064048.201745986 1704736.8926357403),705.0
TSB389000590,들찬마을센터,35.339486,128.196664,2023-10-16,3890590.0,38310,경상남도 의령군,TSBIS,POINT (1063308.5853324495 1705099.4404748657),454.0
TSB389000591,들찬마을센터,35.339645,128.19675,2023-10-16,3890591.0,38310,경상남도 의령군,TSBIS,POINT (1063316.2765757039 1705117.129367477),251.0
TSB389000592,들찬마을센터,35.339484,128.19684,2023-10-16,3890592.0,38310,경상남도 의령군,TSBIS,POINT (1063324.5809652316 1705099.3311715273),733.0
TSB389000593,중촌,35.344273,128.19491,2023-10-16,3890593.0,38310,경상남도 의령군,TSBIS,POINT (1063145.464998976 1705629.2239476026),279.0
TSB389000594,중촌,35.344264,128.195024,2023-10-16,3890594.0,38310,경상남도 의령군,TSBIS,POINT (1063155.8311880138 1705628.2984918759),251.0
TSB389000595,화촌,35.346089,128.19459,2023-10-16,3890595.0,38310,경상남도 의령군,TSBIS,POINT (1063114.9740514548 1705830.423897989),279.0
TSB389000596,화촌,35.346119,128.194696,2023-10-16,3890596.0,38310,경상남도 의령군,TSBIS,POINT (1063124.582720764 1705833.8186162314),251.0
TSB389000597,양천마을,35.351074,128.193551,2023-10-16,3890597.0,38310,경상남도 의령군,TSBIS,POINT (1063016.6902029496 1706382.6251602848),251.0
TSB389000598,양천마을,35.351057,128.193442,2023-10-16,3890598.0,38310,경상남도 의령군,TSBIS,POINT (1063006.7994032614 1706380.6704075008),279.0
TSB389000599,천지사,35.367663,128.185368,2023-10-16,3890599.0,38310,경상남도 의령군,TSBIS,POINT (1062260.4267801687 1708217.2585011902),251.0
