시설명,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
원계경로당,0.0004879978721096,128.509123897,35.230758897,POINT (1091826.5626776156 1693285.331444401),내서읍,38114110,창원시 마산회원구
원계경로당,0.0004879978721096,127.895904359,35.215886875,POINT (1036031.881918762 1691241.2925304251),수곡면,38030450,진주시
도량경로당,0.0003112633237384,127.900039991,35.211325149,POINT (1036410.3111787342 1690736.900069535),수곡면,38030450,진주시
동월경로당,0.0004299710087505,127.894998735,35.221504915,POINT (1035946.9820684745 1691864.0112778665),수곡면,38030450,진주시
강남경로당,0.0001799704288865,128.093302279,35.112444225,POINT (1054065.9773599464 1679858.8110456108),정촌면,38030320,진주시
강남경로당,0.0001799704288865,128.088464934,35.182552605,POINT (1053579.185422665 1687631.2778754365),천전동,38030720,진주시
강남경로당,0.0001799704288865,127.815317124,35.741528254,POINT (1028511.2739730552 1749511.5842209875),위천면,38590350,거창군
남부경로당,0.0026283335182212,128.093661756,35.184089101,POINT (1054051.3396021568 1687804.4902922648),천전동,38030720,진주시
남부경로당,0.0026283335182212,128.747328283,35.49197611,POINT (1113138.2549673016 1722503.6114340506),내이동,38080520,밀양시
남부경로당,0.0026283335182212,129.086643497,35.489606586,POINT (1143922.198661835 1722682.8316039813),하북면,38100340,양산시
남부경로당,0.0026283335182212,128.509805691,35.408361969,POINT (1091687.879786268 1712983.5317250001),도천면,38530400,창녕군
남성경로당,0.0005081399126312,128.161623065,35.235794027,POINT (1060200.9462524846 1693577.757124532),금산면,38030400,진주시
남성경로당,0.0005081399126312,128.049955024,35.268136377,POINT (1050020.306508665 1697102.6225481692),명석면,38030430,진주시
남성경로당,0.0005081399126312,128.073647976,35.189269994,POINT (1052225.801628127 1688368.36296308),성북동,38030730,진주시
남성경로당,0.0005081399126312,128.073647976,35.189269994,POINT (1052225.801628127 1688368.36296308),성북동,38030730,진주시
남성경로당,0.0005081399126312,127.82038122,35.055780653,POINT (1029215.5149898119 1673460.8518813252),고전면,38560350,하동군
일심경로당,0.0028344090206469,128.073647976,35.189269994,POINT (1052225.801628127 1688368.36296308),성북동,38030730,진주시
일심경로당,0.0028344090206469,128.073647976,35.189269994,POINT (1052225.801628127 1688368.36296308),성북동,38030730,진주시
일심경로당,0.0028344090206469,128.211429283,35.077006723,POINT (1064858.7912238133 1675999.2631592564),영현면,38540360,고성군
남성경로당,0.0005081399126312,128.161623065,35.235794027,POINT (1060200.9462524846 1693577.757124532),금산면,38030400,진주시
남성경로당,0.0005081399126312,128.049955024,35.268136377,POINT (1050020.306508665 1697102.6225481692),명석면,38030430,진주시
남성경로당,0.0005081399126312,128.073647976,35.189269994,POINT (1052225.801628127 1688368.36296308),성북동,38030730,진주시
남성경로당,0.0005081399126312,128.073647976,35.189269994,POINT (1052225.801628127 1688368.36296308),성북동,38030730,진주시
남성경로당,0.0005081399126312,127.82038122,35.055780653,POINT (1029215.5149898119 1673460.8518813252),고전면,38560350,하동군
일심경로당,0.0028344090206469,128.073647976,35.189269994,POINT (1052225.801628127 1688368.36296308),성북동,38030730,진주시
일심경로당,0.0028344090206469,128.073647976,35.189269994,POINT (1052225.801628127 1688368.36296308),성북동,38030730,진주시
일심경로당,0.0028344090206469,128.211429283,35.077006723,POINT (1064858.7912238133 1675999.2631592564),영현면,38540360,고성군
상대경로당,0.0019820751830589,128.111524149,35.183890903,POINT (1055677.8192574154 1687792.3659475883),상대동,38030770,진주시
상대경로당,0.0019820751830589,128.514229575,35.577945892,POINT (1091896.2412835946 1731796.3596368711),고암면,38530310,창녕군
도동경로당,0.001256609330664,128.235151997,35.15554349,POINT (1066957.2682360902 1684724.794796464),진성면,38030340,진주시
도동경로당,0.001256609330664,128.298351218,35.167228159,POINT (1072703.1435914577 1686065.0152517734),일반성면,38030350,진주시
도동경로당,0.001256609330664,128.119534069,35.190491498,POINT (1056402.551657676 1688528.898595659),하대동,38030780,진주시
도동경로당,0.001256609330664,128.40471055,35.260237715,POINT (1082295.2567942203 1696463.139080711),가야읍,38520110,함안군
도동경로당,0.001256609330664,128.460837583,35.452744453,POINT (1087193.6950781397 1717861.6525220044),장마면,38530390,창녕군
도동경로당,0.001256609330664,128.200647199,34.948888993,POINT (1063975.499063724 1661784.1360701504),하일면,38540320,고성군
하촌경로당,0.0016437446363747,128.312995116,35.159076328,POINT (1074044.1322471711 1685171.754473219),이반성면,38030360,진주시
하촌경로당,0.0016437446363747,127.963782771,35.197790781,POINT (1042219.0116081204 1689261.1404272118),대평면,38030440,진주시
하촌경로당,0.0016437446363747,128.090069409,35.216511049,POINT (1053702.915497163 1691398.1977152973),초장동,38030660,진주시
하촌경로당,0.0016437446363747,128.741254937,35.255827038,POINT (1112915.881583435 1696304.965347731),진례면,38070330,김해시
하촌경로당,0.0016437446363747,128.665691129,35.53211524,POINT (1105680.431901326 1726865.020060577),무안면,38080380,밀양시
하촌경로당,0.0016437446363747,128.72061316,34.850057991,POINT (1111588.7242520135 1651279.530564395),일운면,38090310,거제시
면호실경로당,0.0,128.044916064,35.202672311,POINT (1049601.828524386 1689839.9847375322),이현동,38030690,진주시
상촌복지경로당,0.0027728019601945,128.033931414,35.20288043,POINT (1048601.7998598262 1689857.6385036884),판문동,38030700,진주시
중촌복지경로당,0.0021218674958776,128.034578379,35.197656767,POINT (1048663.8070354308 1689278.6429995028),판문동,38030700,진주시
판문북동경로당,0.0009483587347248,128.035543031,35.194839681,POINT (1048753.3054009515 1688966.69681977),판문동,38030700,진주시
곤리,0.0,128.369688954,34.782643292,POINT (1079570.9156749966 1643468.9638522617),산양읍,38050110,통영시
대항,0.0,128.301506524,34.757597202,POINT (1073354.6743308813 1640639.5522532717),산양읍,38050110,통영시
대항,0.0,128.796498127,35.328587245,POINT (1117836.0700931507 1704439.1342646969),한림면,38070340,김해시
미조,0.0,128.289288615,34.758624397,POINT (1072235.5593024115 1640744.6129511325),산양읍,38050110,통영시
연대,0.0,128.394736853,34.736222831,POINT (1081908.5376412396 1638341.2258208352),산양읍,38050110,통영시
장촌,0.0017637559435083,128.370575538,34.818403449,POINT (1079617.6423025294 1647435.3626863088),산양읍,38050110,통영시
저도,0.0,128.400067524,34.752753414,POINT (1082380.1335071535 1640178.7630140532),산양읍,38050110,통영시
죽전,0.0006026020929552,128.394187875,34.80219853,POINT (1081793.1582497105 1645657.2688195708),산양읍,38050110,통영시
죽전,0.0006026020929552,128.134044214,35.366221381,POINT (1057599.0126275371 1708026.300932755),대의면,38510330,의령군
거망,0.0,128.476074583,34.909496961,POINT (1089167.8789940886 1657626.3605206618),용남면,38050310,통영시
대곡,0.0004951711340262,128.435146675,34.864579431,POINT (1085475.3569484383 1652609.3469071838),용남면,38050310,통영시
대곡,0.0004951711340262,128.360833742,35.492025912,POINT (1078080.3612260902 1722134.630494109),부림면,38510390,의령군
동부,0.0,128.375021455,34.82625172,POINT (1080016.6596026751 1648309.2530993815),산양읍,38050110,통영시
동부,0.0,128.471634736,34.915150711,POINT (1088756.1836475974 1658249.4164293506),용남면,38050310,통영시
서부,0.0,128.465538506,34.907952789,POINT (1088206.990717376 1657445.7775552128),용남면,38050310,통영시
서부,0.0,128.864963261,35.222033248,POINT (1124221.734101515 1692704.6309634638),칠산서부동,38070560,김해시
서부,0.0,128.259808809,35.320069305,POINT (1069063.4238506877 1702988.211338616),의령읍,38510110,의령군
신촌,0.0020872454153179,128.469335581,34.886226323,POINT (1088577.2080870033 1655039.6680553053),용남면,38050310,통영시
신촌,0.0020872454153179,128.801998975,35.348696078,POINT (1118306.739707375 1706676.00192291),한림면,38070340,김해시
신촌,0.0020872454153179,128.194710397,35.340176425,POINT (1063130.5138167806 1705174.7652446404),칠곡면,38510320,의령군
신촌,0.0020872454153179,128.283861665,35.333614177,POINT (1071237.887682055 1704507.4431142188),용덕면,38510350,의령군
신촌,0.0020872454153179,128.291861963,35.409385112,POINT (1071897.739976948 1712916.7178506777),유곡면,38510420,의령군
양촌,0.000694952479814,128.445489959,34.889076334,POINT (1086395.1584863407 1655334.9047192384),용남면,38050310,통영시
양촌,0.000694952479814,128.167294195,35.356197838,POINT (1060627.106131768 1706934.4919839432),칠곡면,38510320,의령군
어의,0.0,128.486127732,34.963275242,POINT (1090027.5121214387 1663599.4123543263),용남면,38050310,통영시
구촌,0.0028230608633032,128.342235401,34.889181356,POINT (1076959.813165853 1655262.34893664),도산면,38050320,통영시
노전,0.0022709318495082,128.357733161,34.914154753,POINT (1078352.2435306092 1658043.8845470084),도산면,38050320,통영시
동촌,0.0026233431816944,128.308452951,34.89554352,POINT (1073867.1514148293 1655942.463809299),도산면,38050320,통영시
마상촌,0.0018167860732284,128.333855644,34.905412165,POINT (1076179.1004760514 1657055.9131152327),도산면,38050320,통영시
범골,0.0018348399753867,128.349524949,34.890609838,POINT (1077624.5737100767 1655426.3907021156),도산면,38050320,통영시
분지포,0.0010951903404483,128.371328201,34.875533252,POINT (1079631.4216912494 1653771.5347360144),도산면,38050320,통영시
사계,0.0003687536797081,128.371376734,34.936806618,POINT (1079576.7160924182 1660566.7250397033),도산면,38050320,통영시
상촌,0.0008332576981367,128.367897532,34.905983381,POINT (1079288.6197611652 1657145.691226864),도산면,38050320,통영시
상촌,0.0008332576981367,128.408907941,34.948620007,POINT (1082992.370835387 1661907.3272166094),광도면,38050330,통영시
상촌,0.0008332576981367,128.394726233,34.842740585,POINT (1081802.308938605 1650153.7281560213),도천동,38050620,통영시
