격자이름,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
마마060200,0.0,128.66887629957805,35.47063966362859,POINT (1106050.000000001 1720050.0000000002),무안면,38080380,밀양시
마마222214,0.0008367135748704,128.84760109385348,35.48139850239153,POINT (1122249.9999999995 1721450.0000000007),단장면,38080350,밀양시
마마318345,0.0,128.95552780131712,35.59825030362292,POINT (1131850.000000001 1734550.000000001),산내면,38080340,밀양시
마마153084,7.252994450226638e-05,128.76971678673314,35.36503422300877,POINT (1115350 1708449.9999999998),하남읍,38080120,밀양시
마마081119,0.0,128.690942115011,35.39739310780317,POINT (1108149.9999999995 1711949.999999999),초동면,38080370,밀양시
마마213231,0.0011122250925594,128.83793656007313,35.496833089967026,POINT (1121350.0000000012 1723150.000000001),단장면,38080350,밀양시
마마210129,0.0001571028558451,128.83311217168765,35.404923674427074,POINT (1121050.000000001 1712950),삼랑진읍,38080110,밀양시
마마227145,0.0001542850461824,128.85207042022932,35.41913851048624,POINT (1122750 1714550.0000000005),삼랑진읍,38080110,밀양시
마마119203,0.0005960501194979,128.73393392908977,35.472696812222544,POINT (1111950.0000000012 1720349.9999999993),부북면,38080310,밀양시
마마051291,5.685470496406884e-05,128.66013800856751,35.55277023157521,POINT (1105150.0000000002 1729150.0000000002),청도면,38080390,밀양시
마마048168,0.0,128.65523988876663,35.44191927215935,POINT (1104850 1716849.9999999998),무안면,38080380,밀양시
마마119105,0.0,128.73258695224018,35.384352680742055,POINT (1111949.9999999993 1710550),하남읍,38080120,밀양시
마마152190,6.748579370111794e-05,128.7701149884201,35.46060060940416,POINT (1115249.9999999995 1719050),상남면,38080360,밀양시
마마161208,0.0002116185070245,128.78028844582354,35.4767219202784,POINT (1116150.0000000007 1720850),가곡동,38080550,밀양시
마마185216,0.0001000332559578,128.80685361482094,35.4836499031123,POINT (1118550.0000000005 1721649.9999999998),내일동,38080510,밀양시
마마117086,0.0001386412286988,128.7301253684996,35.36724701081698,POINT (1111750.0000000012 1708650.0000000002),하남읍,38080120,밀양시
마마085126,7.379223271743982e-05,128.69543920258965,35.40366001830155,POINT (1108550.0000000033 1712649.999999999),초동면,38080370,밀양시
마마119208,0.0004418327083925,128.7340028096758,35.47720412994219,POINT (1111949.9999999965 1720849.9999999993),부북면,38080310,밀양시
마마256308,0.0001768172246522,128.88652759565454,35.56570594243594,POINT (1125649.9999999998 1730849.9999999995),산내면,38080340,밀양시
마마170296,0.0,128.79147674967982,35.55594278804427,POINT (1117049.9999999993 1729650.0000000005),상동면,38080320,밀양시
마마080135,0.0001687063750302,128.69005313717977,35.41182777855539,POINT (1108050.0000000051 1713550),초동면,38080370,밀양시
마마056243,0.0,128.66502779982983,35.50944609568769,POINT (1105650.0000000007 1724350.0000000016),무안면,38080380,밀양시
마마254323,0.0003855503153332,128.88455387393643,35.579252222200175,POINT (1125449.9999999972 1732349.9999999993),산내면,38080340,밀양시
마마076118,0.0002692936732414,128.68542399900616,35.396545768982186,POINT (1107650.0000000002 1711850),초동면,38080370,밀양시
